state,x,y
Andhra Pradesh,-105.0,-197.0
Arunachal Pradesh,329.0,212.0
Assam,271.0,154.0
Bihar,79.0,130.0
Chhattisgarh,-21.0,2.0
Goa,-245.0,-173.0
Gujarat,-306.0,56.0
Haryana,-169.0,216.0
Himachal Pradesh,-98.0,261.0
Jharkhand,73.0,66.0
Karnataka,-200.0,-200.0
Kerala,-188.0,-297.0
Jammu-kashmir,-143.0,302.0
Madhya Pradesh,-100,50
Maharashtra,-204.0,-50.0
Manipur,309.0,106.0
Meghalaya,226.0,124.0
Mizoram,280.0,65.0
Nagaland,323.0,149.0
Odisha,50.0,-16.0
Punjab,-196.0,272.0
Rajasthan,-248.0,166.0
Sikkim,154.0,179.0
Tamil Nadu,-123.0,-292.0
Telangana,-107.0,-104.0
Tripura,249.0,76.0
Uttar Pradesh,-37.0,153.0
Uttarakhand,-83.0,260.0
West Bengal,139.0,49.0
Andaman and Nicobar Islands,290.0,-275.0
Chandigarh,0,180
Dadra and Nagar Haveli and Daman and Diu,-150,-100
Delhi,-138.0,228.0
Jammu and Kashmir,0,250
Ladakh,50,250
Lakshadweep,-285.0,-299.0
Puducherry,-82.0,-280.0
